content,at,appVersion,POSITIVE SCORE,NEGATIVE SCORE,NEUTRAL SCORE,COMPOUND SCORE,Sentiment
good experience,2023-05-16 01:17:52,4.36.0,74.4,0.0,25.6,44.04,Positive
Good app but recharge method is difficult,2023-05-16 00:31:19,,19.1,31.900000000000002,49.0,-31.819999999999997,Negative
very nice sevice,2023-05-15 23:48:03,4.36.0,60.699999999999996,0.0,39.300000000000004,47.54,Positive
good apps,2023-05-15 22:51:32,4.36.0,74.4,0.0,25.6,44.04,Positive
great and easy app,2023-05-15 11:00:00,4.36.0,77.8,0.0,22.2,79.06,Positive
Excellent,2023-05-15 09:58:02,,100.0,0.0,0.0,57.19,Positive
Good work,2023-05-15 08:10:22,4.36.0,74.4,0.0,25.6,44.04,Positive
Very easy,2023-05-15 07:50:48,4.34.0,76.2,0.0,23.799999999999997,49.27,Positive
vare niec,2023-05-15 07:15:50,4.36.0,0.0,0.0,100.0,0.0,Neutral
good,2023-05-15 02:05:28,4.36.0,100.0,0.0,0.0,44.04,Positive
good,2023-05-15 00:28:06,4.36.0,100.0,0.0,0.0,44.04,Positive
Cannot able to received opt code,2023-05-14 21:37:15,,0.0,0.0,100.0,0.0,Neutral
Dont like it,2023-05-14 14:14:30,,0.0,51.300000000000004,48.699999999999996,-27.55,Negative
is ok,2023-05-14 13:01:24,4.36.0,68.8,0.0,31.2,29.599999999999998,Positive
very nice,2023-05-14 12:46:37,4.36.0,75.6,0.0,24.4,47.54,Positive
Great app,2023-05-14 12:38:58,4.35.0,80.4,0.0,19.6,62.49,Positive
Thanks STC,2023-05-14 12:02:26,4.36.0,74.4,0.0,25.6,44.04,Positive
Good,2023-05-14 08:44:07,4.36.0,100.0,0.0,0.0,44.04,Positive
brilliant,2023-05-14 06:13:01,4.36.0,100.0,0.0,0.0,58.589999999999996,Positive
loved it,2023-05-14 04:42:54,4.36.0,79.60000000000001,0.0,20.4,59.940000000000005,Positive
excellent,2023-05-14 00:24:09,4.36.0,100.0,0.0,0.0,57.19,Positive
good,2023-05-14 00:16:53,4.36.0,100.0,0.0,0.0,44.04,Positive
User friendly app,2023-05-13 23:11:28,4.36.0,61.5,0.0,38.5,49.39,Positive
User friendly and more options to choose from the packages,2023-05-13 22:52:31,4.34.0,26.200000000000003,0.0,73.8,49.39,Positive
excellent app thx stc,2023-05-13 20:33:12,4.36.0,75.6,0.0,24.4,73.50999999999999,Positive
Good,2023-05-13 16:20:46,4.36.0,100.0,0.0,0.0,44.04,Positive
Nice,2023-05-11 05:09:17,,100.0,0.0,0.0,42.15,Positive
To much good,2023-05-10 09:53:15,4.36.0,59.199999999999996,0.0,40.8,44.04,Positive
Fasumon,2023-05-09 23:16:18,,0.0,0.0,100.0,0.0,Neutral
Very good apps,2023-05-09 15:57:52,4.35.0,61.5,0.0,38.5,49.27,Positive
Nice apos,2023-05-08 02:17:48,,73.7,0.0,26.3,42.15,Positive
Nise apps,2023-05-05 11:53:17,,0.0,0.0,100.0,0.0,Neutral
Nice,2023-05-05 07:19:15,4.35.0,100.0,0.0,0.0,42.15,Positive
Very good app,2023-05-05 05:01:18,4.34.0,61.5,0.0,38.5,49.27,Positive
Thanks best offer dene k liye,2023-05-04 14:40:57,4.33.0,70.3,0.0,29.7,79.64,Positive
Good,2023-05-04 13:34:24,4.35.0,100.0,0.0,0.0,44.04,Positive
Always shows connection error,2023-04-29 14:49:01,,0.0,47.4,52.6,-40.19,Negative
Iffu,2023-04-27 16:55:31,4.30.0,0.0,0.0,100.0,0.0,Neutral
Hi good app,2023-04-27 06:23:38,,59.199999999999996,0.0,40.8,44.04,Positive
Good,2023-04-26 08:03:15,,100.0,0.0,0.0,44.04,Positive
Worest customer service bad application even in phone they are usless,2023-04-24 17:51:15,4.35.0,0.0,25.900000000000002,74.1,-54.230000000000004,Negative
Not okay,2023-04-24 10:55:23,4.21.0,0.0,62.5,37.5,-16.950000000000003,Negative
good,2023-04-23 05:00:55,,100.0,0.0,0.0,44.04,Positive
Sopar App,2023-04-22 22:15:43,,0.0,0.0,100.0,0.0,Neutral
Cant open,2023-04-22 07:44:46,4.35.0,0.0,0.0,100.0,0.0,Neutral
Nice app,2023-04-21 09:38:12,,73.7,0.0,26.3,42.15,Positive
Good,2023-04-21 00:45:33,4.35.0,100.0,0.0,0.0,44.04,Positive
Good,2023-04-20 00:18:28,4.35.0,100.0,0.0,0.0,44.04,Positive
Good app,2023-04-19 21:07:58,4.33.0,74.4,0.0,25.6,44.04,Positive
Please add STC Pay service,2023-04-19 19:29:21,4.33.0,34.300000000000004,20.9,44.800000000000004,22.63,Positive
good,2023-04-19 07:45:50,4.33.0,100.0,0.0,0.0,44.04,Positive
Nice,2023-04-19 05:48:12,4.34.0,100.0,0.0,0.0,42.15,Positive
Nowadays very bad network for stc users,2023-04-18 18:13:53,4.35.0,0.0,38.7,61.3,-58.489999999999995,Negative
Buy the esim last the list option payment then showing this sorry this service is currently unavailable please try again later so many time problem like this I need to buy esim please help,2023-04-18 13:38:55,4.35.0,23.799999999999997,10.5,65.60000000000001,66.64,Positive
Good,2023-04-18 09:49:16,4.33.0,100.0,0.0,0.0,44.04,Positive
Easy to use this application,2023-04-17 23:59:35,,42.0,0.0,57.99999999999999,44.04,Positive
Be aware of fraud Transactions,2023-04-17 19:22:42,4.35.0,0.0,48.699999999999996,51.300000000000004,-58.589999999999996,Negative
Ek dam Kachra app hai,2023-04-17 17:08:48,4.34.0,0.0,0.0,100.0,0.0,Neutral
Got it,2023-04-16 14:42:47,4.35.0,0.0,0.0,100.0,0.0,Neutral
Good,2023-04-16 12:38:01,4.30.0,100.0,0.0,0.0,44.04,Positive
Parbalm,2023-04-15 13:15:47,,0.0,0.0,100.0,0.0,Neutral
Sopar,2023-04-14 11:11:07,4.33.0,0.0,0.0,100.0,0.0,Neutral
Nice app,2023-04-13 14:57:00,,73.7,0.0,26.3,42.15,Positive
I like stc,2023-04-13 12:40:09,4.33.0,71.39999999999999,0.0,28.599999999999998,36.120000000000005,Positive
Ok thanks,2023-04-13 06:57:47,4.33.0,100.0,0.0,0.0,62.49,Positive
Very helpful app,2023-04-12 02:18:20,4.35.0,60.699999999999996,0.0,39.300000000000004,47.54,Positive
Fine service,2023-04-12 02:17:26,4.35.0,64.3,0.0,35.699999999999996,20.23,Positive
Worst customer service not recommended anymore,2023-04-11 23:06:21,4.34.0,0.0,58.699999999999996,41.3,-69.0,Negative
Nice app,2023-04-11 09:48:27,4.34.0,73.7,0.0,26.3,42.15,Positive
Superb,2023-04-11 05:47:51,4.34.0,100.0,0.0,0.0,62.49,Positive
honestly great freaking app,2023-04-10 16:58:27,4.34.0,65.10000000000001,25.7,9.2,64.86,Positive
Not working,2023-04-10 10:44:43,,0.0,0.0,100.0,0.0,Neutral
Please tell me how to close number,2023-04-10 10:26:07,4.33.0,41.9,0.0,58.099999999999994,38.18,Positive
Good,2023-04-09 22:44:22,4.34.0,100.0,0.0,0.0,44.04,Positive
Its good,2023-04-07 11:40:49,,74.4,0.0,25.6,44.04,Positive
poor apps,2023-04-06 00:43:06,,0.0,75.6,24.4,-47.67,Negative
Awesome for mine,2023-04-05 03:26:37,,67.2,0.0,32.800000000000004,62.49,Positive
Got it,2023-04-02 15:32:12,,0.0,0.0,100.0,0.0,Neutral
Great app,2023-04-01 11:18:22,,80.4,0.0,19.6,62.49,Positive
Good,2023-04-01 01:09:24,4.33.0,100.0,0.0,0.0,44.04,Positive
nice pics,2023-03-27 17:35:14,4.29.0,73.7,0.0,26.3,42.15,Positive
Good,2023-03-26 20:28:10,4.33.0,100.0,0.0,0.0,44.04,Positive
No comment,2023-03-26 10:38:35,4.33.0,0.0,68.8,31.2,-29.599999999999998,Negative
Really appreciated for free sms,2023-03-24 17:33:56,,70.5,0.0,29.5,79.96,Positive
Very satisfying,2023-03-24 13:38:27,4.33.0,76.7,0.0,23.3,50.949999999999996,Positive
Not work my number,2023-03-24 00:32:01,4.33.0,0.0,28.9,71.1,-5.72,Negative
Where not open the apps,2023-03-23 14:46:43,4.33.0,0.0,0.0,100.0,0.0,Neutral
Its good,2023-03-21 06:13:19,,74.4,0.0,25.6,44.04,Positive
Nice,2023-03-20 02:50:39,,100.0,0.0,0.0,42.15,Positive
Good,2023-03-19 08:37:08,,100.0,0.0,0.0,44.04,Positive
Very good,2023-03-18 08:17:09,4.29.0,76.2,0.0,23.799999999999997,49.27,Positive
Very good,2023-03-15 21:49:31,4.29.0,76.2,0.0,23.799999999999997,49.27,Positive
Excellent App Service,2023-03-15 07:27:46,4.33.0,64.9,0.0,35.099999999999994,57.19,Positive
fari,2023-03-14 00:00:10,4.33.0,0.0,0.0,100.0,0.0,Neutral
Goo network,2023-03-13 21:48:01,,0.0,0.0,100.0,0.0,Neutral
Pathetic As I use this app to see the My account details regarding minutes left and Internet schedule but after updating all that information which I use to see now unable to see this,2023-03-13 10:58:20,4.33.0,0.0,7.000000000000001,93.0,-32.910000000000004,Negative
stc is always my choice and my greatest Connection,2023-03-12 15:55:09,4.25.1,34.4,0.0,65.60000000000001,63.690000000000005,Positive
Good services,2023-03-12 14:57:49,,74.4,0.0,25.6,44.04,Positive
Wow,2023-03-12 12:13:46,,100.0,0.0,0.0,58.589999999999996,Positive
Ok,2023-03-11 21:01:31,4.33.0,100.0,0.0,0.0,29.599999999999998,Positive
Bad performance,2023-03-11 04:51:20,4.33.0,0.0,77.8,22.2,-54.230000000000004,Negative
IMPOSSIBLE TO DOWNLOAD,2023-03-10 02:28:03,,0.0,0.0,100.0,0.0,Neutral
Really appreciative network,2023-03-09 02:12:16,4.33.0,66.10000000000001,0.0,33.900000000000006,59.84,Positive
nice app,2023-03-08 23:36:22,4.29.0,73.7,0.0,26.3,42.15,Positive
good apss,2023-03-08 09:58:36,,74.4,0.0,25.6,44.04,Positive
Good,2023-03-08 07:36:08,4.33.0,100.0,0.0,0.0,44.04,Positive
Outstanding Service,2023-03-07 20:40:16,4.33.0,80.0,0.0,20.0,61.24000000000001,Positive
Good that,2023-03-07 11:42:05,4.29.0,74.4,0.0,25.6,44.04,Positive
Good,2023-03-07 02:06:00,4.33.0,100.0,0.0,0.0,44.04,Positive
My problem is am trying to download it but it failed to download it,2023-03-06 03:16:57,,0.0,34.4,65.60000000000001,-74.3,Negative
High price package,2023-03-03 12:31:52,,0.0,0.0,100.0,0.0,Neutral
Always try again later,2023-03-02 16:43:31,,0.0,0.0,100.0,0.0,Neutral
Beattyfull app,2023-03-01 07:41:14,,0.0,0.0,100.0,0.0,Neutral
excellent,2023-02-27 20:24:47,4.33.0,100.0,0.0,0.0,57.19,Positive
Super,2023-02-27 13:26:31,,100.0,0.0,0.0,59.940000000000005,Positive
Nice response,2023-02-27 07:44:00,4.29.0,73.7,0.0,26.3,42.15,Positive
Good,2023-02-27 04:51:26,4.29.0,100.0,0.0,0.0,44.04,Positive
Muhammad jamshaid,2023-02-26 00:25:02,4.33.0,0.0,0.0,100.0,0.0,Neutral
I Love This Stc,2023-02-25 09:02:21,,67.7,0.0,32.300000000000004,63.690000000000005,Positive
Good app,2023-02-25 01:50:32,4.33.0,74.4,0.0,25.6,44.04,Positive
Crashes every week once and forced to update new version,2023-02-24 20:56:22,,0.0,25.0,75.0,-45.879999999999995,Negative
West network,2023-02-24 03:52:59,4.33.0,0.0,0.0,100.0,0.0,Neutral
Nice,2023-02-23 23:48:05,4.29.0,100.0,0.0,0.0,42.15,Positive
nice,2023-02-23 18:06:34,4.33.0,100.0,0.0,0.0,42.15,Positive
Easy to use app,2023-02-22 01:33:26,,49.2,0.0,50.8,44.04,Positive
Nice,2023-02-21 23:05:40,4.33.0,100.0,0.0,0.0,42.15,Positive
Net no good,2023-02-21 11:20:24,4.33.0,47.5,36.1,16.400000000000002,17.79,Positive
Good,2023-02-21 07:56:26,4.29.0,100.0,0.0,0.0,44.04,Positive
Wow,2023-02-19 10:09:41,4.33.0,100.0,0.0,0.0,58.589999999999996,Positive
Nice app,2023-02-19 08:21:46,,73.7,0.0,26.3,42.15,Positive
the app just keep crashing every time,2023-02-19 06:56:59,4.30.0,0.0,0.0,100.0,0.0,Neutral
Annoying always need to update,2023-02-19 03:57:24,4.29.0,0.0,40.300000000000004,59.699999999999996,-40.19,Negative
Good,2023-02-18 12:02:45,4.29.0,100.0,0.0,0.0,44.04,Positive
very poor,2023-02-17 21:48:59,4.32.0,0.0,77.2,22.8,-52.559999999999995,Negative
Good,2023-02-17 05:29:26,4.33.0,100.0,0.0,0.0,44.04,Positive
Best,2023-02-17 03:44:42,4.29.0,100.0,0.0,0.0,63.690000000000005,Positive
good apps,2023-02-16 20:19:40,4.29.0,74.4,0.0,25.6,44.04,Positive
worst app,2023-02-15 11:32:50,4.33.0,0.0,80.4,19.6,-62.49,Negative
Wow,2023-02-14 22:32:02,4.33.0,100.0,0.0,0.0,58.589999999999996,Positive
Good,2023-02-14 09:33:06,,100.0,0.0,0.0,44.04,Positive
Very bad network,2023-02-13 08:17:37,4.33.0,0.0,65.5,34.5,-58.489999999999995,Negative
If I could give less than one star I would The application never works,2023-02-10 08:33:35,4.33.0,0.0,0.0,100.0,0.0,Neutral
Jd,2023-02-09 16:06:48,4.33.0,0.0,0.0,100.0,0.0,Neutral
Direct access not working,2023-02-09 04:18:39,4.33.0,0.0,0.0,100.0,0.0,Neutral
Nice,2023-02-08 13:35:55,,100.0,0.0,0.0,42.15,Positive
Nice,2023-02-08 02:58:10,4.33.0,100.0,0.0,0.0,42.15,Positive
Very poor network coverage in Riyadh Gharnata area,2023-02-07 11:39:02,4.29.0,0.0,32.6,67.4,-52.559999999999995,Negative
No use,2023-02-07 09:01:28,,0.0,68.8,31.2,-29.599999999999998,Negative
Good,2023-02-07 04:05:17,4.28.0,100.0,0.0,0.0,44.04,Positive
den the Signal is very pass,2023-02-06 16:03:36,4.30.0,0.0,0.0,100.0,0.0,Neutral
Bad,2023-02-05 18:50:04,4.32.0,0.0,100.0,0.0,-54.230000000000004,Negative
Bast app,2023-02-05 02:40:51,4.30.0,0.0,0.0,100.0,0.0,Neutral
I everytime open his said check your internet connection why,2023-02-03 09:48:16,4.31.0,0.0,0.0,100.0,0.0,Neutral
Excellent,2023-02-02 02:07:36,,100.0,0.0,0.0,57.19,Positive
Good,2023-02-01 12:11:52,4.32.0,100.0,0.0,0.0,44.04,Positive
Good,2023-01-31 19:49:37,,100.0,0.0,0.0,44.04,Positive
Good,2023-01-31 01:19:54,4.32.0,100.0,0.0,0.0,44.04,Positive
View all,2023-01-30 01:42:54,4.32.0,0.0,0.0,100.0,0.0,Neutral
Good app,2023-01-29 01:16:35,,74.4,0.0,25.6,44.04,Positive
Good,2023-01-26 22:52:43,,100.0,0.0,0.0,44.04,Positive
Not working,2023-01-25 04:36:12,4.32.0,0.0,0.0,100.0,0.0,Neutral
ok,2023-01-24 13:50:16,4.32.0,100.0,0.0,0.0,29.599999999999998,Positive
Good application Thanks to all of you mystc teem,2023-01-22 20:39:53,4.32.0,45.300000000000004,0.0,54.7,70.03,Positive
so bad,2023-01-22 19:27:34,4.31.0,0.0,79.10000000000001,20.9,-58.489999999999995,Negative
Love,2023-01-22 01:29:34,4.32.0,100.0,0.0,0.0,63.690000000000005,Positive
Nice,2023-01-19 07:35:50,,100.0,0.0,0.0,42.15,Positive
Not good app because some time uccur error not working,2023-01-18 01:39:11,4.32.0,0.0,39.0,61.0,-62.56,Negative
no yet,2023-01-15 12:17:22,4.31.0,0.0,68.8,31.2,-29.599999999999998,Negative
Very bad app,2023-01-14 23:09:34,4.16.0,0.0,65.5,34.5,-58.489999999999995,Negative
Nice,2023-01-12 00:07:52,4.31.0,100.0,0.0,0.0,42.15,Positive
Nice app,2023-01-11 19:31:59,4.31.0,73.7,0.0,26.3,42.15,Positive
Very good,2023-01-11 04:17:35,4.31.0,76.2,0.0,23.799999999999997,49.27,Positive
Why i cant use my qitaf point in sending money in my stc pay my other friend they can use it but mine there is no use,2023-01-10 20:31:25,4.31.0,7.199999999999999,13.700000000000001,79.0,-22.63,Negative
Good,2023-01-09 22:47:24,,100.0,0.0,0.0,44.04,Positive
A buggy mess,2023-01-09 08:17:14,4.31.0,0.0,71.39999999999999,28.599999999999998,-36.120000000000005,Negative
Good,2023-01-09 02:33:27,,100.0,0.0,0.0,44.04,Positive
App is saying check internet connection but my internet is working fine,2023-01-08 21:55:08,4.31.0,16.7,0.0,83.3,29.599999999999998,Positive
Very Bad app Not opening always showing check your internet even internet is good everything is working but this app is very bad,2023-01-08 16:43:42,4.31.0,6.6000000000000005,25.7,67.7,-76.74,Negative
Usless app,2023-01-07 10:20:56,4.31.0,0.0,0.0,100.0,0.0,Neutral
Very bad app,2023-01-06 14:42:28,,0.0,65.5,34.5,-58.489999999999995,Negative
A lot issues especially in purchasing and reconnecting,2023-01-06 11:50:42,,0.0,0.0,100.0,0.0,Neutral
Nice,2023-01-05 07:41:21,4.30.0,100.0,0.0,0.0,42.15,Positive
Excellent,2023-01-04 17:50:37,4.31.0,100.0,0.0,0.0,57.19,Positive
STC,2023-01-04 16:43:08,4.31.0,0.0,0.0,100.0,0.0,Neutral
User friendly,2023-01-04 03:23:12,,76.2,0.0,23.799999999999997,49.39,Positive
Not at all opening filled with lots of bugs,2023-01-03 17:19:40,4.31.0,0.0,0.0,100.0,0.0,Neutral
Data offer not good And message problems,2023-01-02 10:08:33,4.28.0,0.0,50.5,49.5,-62.56,Negative
Good,2023-01-02 04:54:32,4.30.0,100.0,0.0,0.0,44.04,Positive
Good,2023-01-01 20:37:56,4.30.0,100.0,0.0,0.0,44.04,Positive
So bad,2022-12-26 16:30:42,4.30.0,0.0,79.10000000000001,20.9,-58.489999999999995,Negative
At first it was really good but nowdays you need to have bundles to open it,2022-12-26 07:39:55,4.30.0,12.3,0.0,87.7,27.24,Positive
Nice workp,2022-12-26 07:07:53,4.23.0,73.7,0.0,26.3,42.15,Positive
Good,2022-12-22 08:11:59,4.30.0,100.0,0.0,0.0,44.04,Positive
Now not working,2022-12-21 09:59:29,,0.0,0.0,100.0,0.0,Neutral
I very beautiful stc I like,2022-12-21 06:07:55,4.30.0,77.7,0.0,22.3,78.8,Positive
Nice,2022-12-20 00:46:11,4.25.1,100.0,0.0,0.0,42.15,Positive
How can i transfer my simnumber to my iqama,2022-12-17 22:46:18,4.30.0,0.0,0.0,100.0,0.0,Neutral
Good,2022-12-16 12:27:50,4.27.0,100.0,0.0,0.0,44.04,Positive
Very good always have promo,2022-12-14 19:59:23,4.30.0,44.4,0.0,55.60000000000001,49.27,Positive
Good app,2022-12-14 13:29:30,4.27.0,74.4,0.0,25.6,44.04,Positive
Very good,2022-12-12 23:05:17,4.30.0,76.2,0.0,23.799999999999997,49.27,Positive
Very bad app and connection,2022-12-12 11:55:46,4.30.0,0.0,48.699999999999996,51.300000000000004,-58.489999999999995,Negative
The best app for ever,2022-12-12 07:27:55,,51.2,0.0,48.8,63.690000000000005,Positive
Over all better than before,2022-12-09 06:54:14,4.30.0,42.0,0.0,57.99999999999999,44.04,Positive
Worst,2022-12-09 02:02:15,4.30.0,0.0,100.0,0.0,-62.49,Negative
The best app for ever,2022-12-08 09:28:58,4.29.0,51.2,0.0,48.8,63.690000000000005,Positive
Tnx,2022-12-07 23:50:48,4.30.0,100.0,0.0,0.0,27.32,Positive
Good,2022-12-07 10:27:35,4.30.0,100.0,0.0,0.0,44.04,Positive
Gud,2022-12-07 07:44:33,4.30.0,0.0,0.0,100.0,0.0,Neutral
Whenever I try to open the app it get closing,2022-12-05 00:23:29,4.30.0,0.0,0.0,100.0,0.0,Neutral
Slow,2022-12-04 14:35:17,4.30.0,0.0,0.0,100.0,0.0,Neutral
Re,2022-12-04 13:04:13,4.29.0,0.0,0.0,100.0,0.0,Neutral
The app is not working,2022-12-03 11:18:55,4.29.0,0.0,0.0,100.0,0.0,Neutral
So bad,2022-12-03 10:59:39,4.29.0,0.0,79.10000000000001,20.9,-58.489999999999995,Negative
ATM card not accepted,2022-12-01 04:57:11,4.29.0,0.0,37.7,62.3,-20.57,Negative
Good my stc app,2022-11-30 07:29:39,4.29.0,49.2,0.0,50.8,44.04,Positive
Not easy to use Most payment options not working getting worst in every update,2022-11-30 02:52:33,4.29.0,18.6,13.600000000000001,67.80000000000001,22.35,Positive
Excellent,2022-11-29 15:17:50,4.27.0,100.0,0.0,0.0,57.19,Positive
not good systematic too much expensive,2022-11-29 05:12:13,4.29.0,0.0,32.5,67.5,-34.12,Negative
Awesome,2022-11-28 22:51:55,4.26.0,100.0,0.0,0.0,62.49,Positive
To much bad app service not good Every time tall making problem sulliv,2022-11-28 22:09:04,4.29.0,0.0,46.300000000000004,53.7,-82.27,Negative
Riyad Hossain,2022-11-28 12:20:39,,0.0,0.0,100.0,0.0,Neutral
Helpful,2022-11-27 09:33:06,4.28.0,100.0,0.0,0.0,42.15,Positive
Not a good app,2022-11-27 07:51:44,,0.0,54.6,45.4,-34.12,Negative
Not good,2022-11-27 07:16:17,4.29.0,0.0,70.6,29.4,-34.12,Negative
Good,2022-11-26 17:56:52,4.29.0,100.0,0.0,0.0,44.04,Positive
Good,2022-11-26 00:43:24,,100.0,0.0,0.0,44.04,Positive
Very bad app even the customer service stc ksa very terrible and bad and expensive,2022-11-25 12:17:39,4.29.0,0.0,47.8,52.2,-89.96,Negative
Dump dev,2022-11-25 09:01:56,4.27.0,0.0,72.2,27.800000000000004,-38.18,Negative
Good very nice aap stc number one saudia nat work,2022-11-25 04:37:03,4.29.0,51.0,0.0,49.0,74.25,Positive
Sumting,2022-11-24 03:52:13,4.28.0,0.0,0.0,100.0,0.0,Neutral
nice,2022-11-23 02:18:04,4.28.0,100.0,0.0,0.0,42.15,Positive
Great app,2022-11-22 23:19:39,4.1.1,80.4,0.0,19.6,62.49,Positive
Good,2022-11-22 13:51:49,,100.0,0.0,0.0,44.04,Positive
Good,2022-11-21 23:46:57,4.29.0,100.0,0.0,0.0,44.04,Positive
Okkkkkkk,2022-11-21 22:47:04,4.26.0,0.0,0.0,100.0,0.0,Neutral
Nice not bed,2022-11-21 05:35:05,,58.3,0.0,41.699999999999996,42.15,Positive
Good,2022-11-20 07:56:29,,100.0,0.0,0.0,44.04,Positive
Good,2022-11-20 06:55:59,4.28.0,100.0,0.0,0.0,44.04,Positive
Nice,2022-11-19 23:09:47,4.29.0,100.0,0.0,0.0,42.15,Positive
very Good telecom company stc,2022-11-19 17:00:59,,44.4,0.0,55.60000000000001,49.27,Positive
Good,2022-11-18 22:05:10,4.27.0,100.0,0.0,0.0,44.04,Positive
V good,2022-11-18 11:13:47,4.28.0,100.0,0.0,0.0,44.04,Positive
Good,2022-11-17 23:27:02,4.27.0,100.0,0.0,0.0,44.04,Positive
nice app,2022-11-17 13:41:32,4.28.0,73.7,0.0,26.3,42.15,Positive
Good,2022-11-17 11:09:42,,100.0,0.0,0.0,44.04,Positive
Good,2022-11-17 09:59:20,4.29.0,100.0,0.0,0.0,44.04,Positive
Very bd servers stc,2022-11-17 09:58:00,4.28.0,0.0,0.0,100.0,0.0,Neutral
Crashes and hang all the time worst app,2022-11-17 04:11:51,4.27.0,0.0,36.9,63.1,-62.49,Negative
Excellent,2022-11-17 03:08:37,4.29.0,100.0,0.0,0.0,57.19,Positive
Good,2022-11-16 14:45:26,4.29.0,100.0,0.0,0.0,44.04,Positive
Not good,2022-11-16 10:49:34,,0.0,70.6,29.4,-34.12,Negative
Great,2022-11-15 12:56:30,,100.0,0.0,0.0,62.49,Positive
Good,2022-11-15 01:09:52,,100.0,0.0,0.0,44.04,Positive
